Training Time: 38:31 minutes

{'Antonym': {'precision': 0.8616504854368932, 'recall': 0.8554216867469879, 'f1-score': 0.8585247883917775, 'support': 415}, 'HasA': {'precision': 0.7533333333333333, 'recall': 0.795774647887324, 'f1-score': 0.773972602739726, 'support': 142}, 'HasProperty': {'precision': 0.8712574850299402, 'recall': 0.9037267080745341, 'f1-score': 0.8871951219512195, 'support': 322}, 'IsA': {'precision': 0.7429906542056075, 'recall': 0.6928104575163399, 'f1-score': 0.7170236753100339, 'support': 459}, 'MadeOf': {'precision': 0.6989247311827957, 'recall': 0.7558139534883721, 'f1-score': 0.7262569832402235, 'support': 86}, 'PartOf': {'precision': 0.7329192546583851, 'recall': 0.8137931034482758, 'f1-score': 0.7712418300653594, 'support': 145}, 'Synonym': {'precision': 0.5895522388059702, 'recall': 0.5703971119133574, 'f1-score': 0.5798165137614679, 'support': 277}, 'accuracy': 0.7681473456121344, 'macro avg': {'precision': 0.7500897403789892, 'recall': 0.7696768098678846, 'f1-score': 0.7591473593514012, 'support': 1846}, 'weighted avg': {'precision': 0.7669678733510826, 'recall': 0.7681473456121344, 'f1-score': 0.766998880410233, 'support': 1846}}

lobby wall HasA HasA
call order IsA IsA
keep store IsA Synonym
see view Synonym Synonym
brake pedal Antonym Synonym
lake place IsA IsA
boy female Antonym Antonym
hill crater Antonym Antonym
box hit IsA IsA
slip balance Antonym IsA
rapid river PartOf PartOf
level tool IsA IsA
rest relax Synonym Synonym
copulate fun HasProperty HasProperty
conflict state IsA IsA
dice red HasProperty HasProperty
law theory PartOf Antonym
author artist Synonym Antonym
he female Antonym Antonym
paper ink Antonym HasA
hear sight Antonym Antonym
love important HasProperty HasProperty
song culture PartOf PartOf
club weapon IsA IsA
heterosexual person IsA IsA
fear comfortable Antonym Antonym
mate friendly Synonym HasProperty
head hammer PartOf PartOf
head table PartOf PartOf
lose tight Antonym Antonym
button tv PartOf PartOf
house basement HasA HasA
envelope letter HasA HasA
swim relax HasProperty HasProperty
affection love Synonym Synonym
cloudy weather IsA IsA
cookie food IsA IsA
face body PartOf PartOf
leaf sheet IsA IsA
human_body water HasProperty HasA
door hole Antonym HasA
rock solid HasProperty HasProperty
fish animal IsA IsA
statue stone MadeOf MadeOf
dark light Antonym Antonym
bend bow Synonym Synonym
burn destroy IsA IsA
person lazy HasProperty HasProperty
sugar sweet HasProperty HasProperty
fiddle string HasA HasA
cloud water_vapor MadeOf MadeOf
keep give Antonym Antonym
cold hot Antonym Antonym
person sleep HasA HasProperty
plain complicate Antonym Antonym
water surface HasA HasA
unhappiness sadness Synonym Synonym
shape fun HasProperty HasProperty
action play IsA Synonym
man male IsA HasProperty
glass fragile HasProperty HasProperty
sport fun IsA HasProperty
fork shape IsA IsA
aluminum gray IsA HasProperty
middle side Antonym Antonym
bath water HasA MadeOf
gentle wild Antonym Antonym
alcohol rice MadeOf Antonym
baseball game IsA IsA
object sentence PartOf PartOf
rush charge Synonym Synonym
city skyscraper HasA HasA
light ignite Synonym Synonym
happy displease Antonym Antonym
keyboard device IsA IsA
steal give Antonym Antonym
dot spot Synonym Synonym
garden yard Synonym IsA
limp relax Synonym IsA
chain link HasA HasA
drawer clothe HasA Antonym
garbage trash Synonym Synonym
string_instrument string Synonym MadeOf
boyfriend friend Synonym IsA
mountain snow HasA HasA
music note MadeOf HasA
queen female HasProperty HasProperty
picture book PartOf PartOf
animal nature PartOf PartOf
due pay Antonym IsA
house attic HasA HasA
member committee PartOf PartOf
busy nothing Antonym Antonym
stone solid HasProperty HasProperty
person information HasA HasA
hockey violent HasProperty HasProperty
company loneliness Antonym Antonym
peach pit HasA HasA
wash clean IsA HasProperty
dog penis HasA HasA
bicycle tool IsA IsA
pin nail Synonym Antonym
bark tan IsA HasProperty
bone human PartOf PartOf
end happen IsA IsA
enjoyment pleasure Synonym Synonym
create make IsA Synonym
container metal MadeOf MadeOf
suit uncomfortable HasProperty HasProperty
breast turkey PartOf PartOf
divide part Synonym IsA
love honey Synonym Synonym
earth globe Synonym Antonym
world material MadeOf MadeOf
act communication IsA PartOf
watch check IsA IsA
pluck pull IsA Antonym
sex fun IsA HasProperty
fungus organism IsA IsA
hat cotton MadeOf MadeOf
promotion change IsA IsA
edge line Synonym Synonym
store stock Synonym Synonym
benefit good IsA IsA
electron neutron Antonym Antonym
love sweet HasProperty HasProperty
animal meat HasA MadeOf
fruit skin HasA HasA
kite orange HasProperty HasProperty
castle place IsA IsA
end change IsA IsA
warmth soothe HasProperty Synonym
nature lovely HasProperty HasProperty
rooster comb HasA HasA
sound fun HasProperty HasProperty
life time Synonym HasA
slice hit IsA IsA
begin middle Antonym Antonym
plant nature PartOf PartOf
yellow color IsA IsA
point needle PartOf PartOf
bee animal IsA IsA
case container IsA IsA
gas liquid Antonym Antonym
sole body_part IsA IsA
safety good HasProperty HasProperty
earth blue HasProperty HasProperty
atom electron HasA MadeOf
car wax HasProperty HasA
spine book PartOf PartOf
trade buy Antonym Antonym
woman adult IsA IsA
club heart Antonym PartOf
connect join IsA Synonym
bell annoy HasProperty HasProperty
animal emotion HasA HasA
utopia community MadeOf IsA
ram device IsA IsA
new green Synonym HasProperty
low reduce Synonym Synonym
confusion knowledge Antonym Antonym
ranch large HasProperty HasProperty
fog cloudy Synonym HasProperty
poison safe Antonym Antonym
sew stitch Synonym Synonym
lock metal MadeOf MadeOf
she nasty HasProperty HasProperty
leaf plant PartOf PartOf
life experience IsA IsA
camp place IsA IsA
book account Synonym Synonym
pain comfortable Antonym Antonym
stumble mistake Synonym IsA
dice die Synonym IsA
color dark HasProperty HasProperty
star object IsA IsA
music tv IsA Antonym
rest break Synonym Synonym
party be_alone Antonym Antonym
temple human PartOf PartOf
ordinary original Antonym Antonym
milk cheese Antonym Antonym
consume use Synonym IsA
glass sand MadeOf Antonym
rooster chicken IsA HasA
human free HasProperty HasProperty
pit place IsA IsA
glass solid IsA HasProperty
move sit Antonym Antonym
pleasure emotion IsA IsA
pee warm HasProperty HasProperty
anger enrage Synonym Synonym
hill mound Synonym Synonym
program performance IsA IsA
sign talk Antonym Antonym
decide think Antonym IsA
copy creation Antonym Antonym
secret mystery Synonym Synonym
volcano crater PartOf HasA
library dirty HasProperty HasProperty
date go_out IsA Synonym
news fun HasProperty HasProperty
head subject Synonym IsA
joint cannabis MadeOf MadeOf
universe huge HasProperty HasProperty
mankind intelligent HasProperty HasProperty
snow snowflake MadeOf HasA
ink paint Synonym PartOf
head screw PartOf PartOf
knowledge learn Synonym Synonym
air water Antonym Antonym
solve understand IsA Synonym
kitten soft HasProperty HasProperty
wave dress IsA IsA
atmosphere air IsA Synonym
pay payment IsA Synonym
class teacher Antonym HasA
change money IsA IsA
same unique Antonym Antonym
boss leader IsA Synonym
trouble hurt IsA Synonym
divide calculate IsA IsA
exercise important HasProperty HasProperty
love mate Synonym Synonym
compress expand Antonym Antonym
sight vision Synonym Synonym
cool temperature IsA IsA
bird flock PartOf PartOf
house furniture HasA HasA
top dish PartOf PartOf
point pencil PartOf PartOf
gentleman gent Synonym Synonym
race move IsA IsA
crystal clear HasProperty HasProperty
child fun HasA HasProperty
crime justice Antonym Antonym
city many_person HasA HasA
lead heavy HasProperty HasProperty
sport healthy HasProperty HasProperty
music relax HasProperty HasProperty
spot pattern IsA IsA
america continent IsA IsA
nation place IsA IsA
america place IsA IsA
music talk Antonym Antonym
seat bed Antonym Antonym
recycle good HasProperty HasProperty
fight good Antonym HasProperty
nothing free HasProperty HasProperty
fact information IsA IsA
death mystery IsA IsA
wool coat IsA IsA
state population HasA HasA
purpose goal IsA Synonym
learn excite HasProperty HasProperty
sex fun HasProperty HasProperty
cell_phone mobile Synonym HasProperty
old age Synonym IsA
tree alive HasProperty HasProperty
lady woman Synonym Synonym
banana dessert IsA IsA
shoe lace HasA HasA
steam ice Antonym Antonym
ireland place IsA IsA
free restrict Antonym Antonym
play grind Antonym Antonym
water clear HasProperty HasProperty
library door HasA HasA
extinguish ignite Antonym Antonym
mailbox door HasA HasA
line thread Synonym Synonym
high superior Synonym Synonym
arm leg Antonym Antonym
dress pant Antonym Antonym
depression happiness Antonym Antonym
head mind Synonym Synonym
airplane fun HasProperty HasProperty
earth gravity HasA HasA
quality cheap Antonym Antonym
lazy energetic Antonym Antonym
balance account PartOf Synonym
curl wave PartOf IsA
