Training Time: 39:19 minutes

{'Antonym': {'precision': 0.863961813842482, 'recall': 0.8722891566265061, 'f1-score': 0.8681055155875299, 'support': 415}, 'HasA': {'precision': 0.7467532467532467, 'recall': 0.8098591549295775, 'f1-score': 0.777027027027027, 'support': 142}, 'HasProperty': {'precision': 0.846820809248555, 'recall': 0.9099378881987578, 'f1-score': 0.8772455089820359, 'support': 322}, 'IsA': {'precision': 0.7505567928730512, 'recall': 0.7342047930283224, 'f1-score': 0.7422907488986784, 'support': 459}, 'MadeOf': {'precision': 0.8055555555555556, 'recall': 0.6744186046511628, 'f1-score': 0.7341772151898734, 'support': 86}, 'PartOf': {'precision': 0.7943262411347518, 'recall': 0.7724137931034483, 'f1-score': 0.7832167832167832, 'support': 145}, 'Synonym': {'precision': 0.5962264150943396, 'recall': 0.5703971119133574, 'f1-score': 0.5830258302583026, 'support': 277}, 'accuracy': 0.7773564463705309, 'macro avg': {'precision': 0.772028696357426, 'recall': 0.7633600717787331, 'f1-score': 0.7664412327371757, 'support': 1846}, 'weighted avg': {'precision': 0.775392622976059, 'recall': 0.7773564463705309, 'f1-score': 0.7757258740507497, 'support': 1846}}

lobby wall HasA Antonym
call order IsA IsA
keep store IsA Synonym
see view Synonym Synonym
brake pedal Antonym IsA
lake place IsA IsA
boy female Antonym Antonym
hill crater Antonym Antonym
box hit IsA IsA
slip balance Antonym Antonym
rapid river PartOf PartOf
level tool IsA IsA
rest relax Synonym Synonym
copulate fun HasProperty HasProperty
conflict state IsA IsA
dice red HasProperty HasProperty
law theory PartOf Antonym
author artist Synonym IsA
he female Antonym Antonym
paper ink Antonym HasA
hear sight Antonym Antonym
love important HasProperty HasProperty
song culture PartOf PartOf
club weapon IsA IsA
heterosexual person IsA IsA
fear comfortable Antonym Antonym
mate friendly Synonym HasProperty
head hammer PartOf PartOf
head table PartOf PartOf
lose tight Antonym Antonym
button tv PartOf PartOf
house basement HasA HasA
envelope letter HasA HasA
swim relax HasProperty HasProperty
affection love Synonym Synonym
cloudy weather IsA IsA
cookie food IsA IsA
face body PartOf PartOf
leaf sheet IsA IsA
human_body water HasProperty HasA
door hole Antonym HasA
rock solid HasProperty HasProperty
fish animal IsA IsA
statue stone MadeOf MadeOf
dark light Antonym Antonym
bend bow Synonym Synonym
burn destroy IsA IsA
person lazy HasProperty HasProperty
sugar sweet HasProperty Synonym
fiddle string HasA HasA
cloud water_vapor MadeOf Synonym
keep give Antonym Antonym
cold hot Antonym Antonym
person sleep HasA HasProperty
plain complicate Antonym Antonym
water surface HasA HasA
unhappiness sadness Synonym Synonym
shape fun HasProperty HasProperty
action play IsA Synonym
man male IsA HasProperty
glass fragile HasProperty HasProperty
sport fun IsA HasProperty
fork shape IsA IsA
aluminum gray IsA HasProperty
middle side Antonym IsA
bath water HasA HasA
gentle wild Antonym Antonym
alcohol rice MadeOf Antonym
baseball game IsA IsA
object sentence PartOf PartOf
rush charge Synonym Synonym
city skyscraper HasA HasA
light ignite Synonym Synonym
happy displease Antonym Antonym
keyboard device IsA IsA
steal give Antonym Antonym
dot spot Synonym Synonym
garden yard Synonym IsA
limp relax Synonym Synonym
chain link HasA HasA
drawer clothe HasA HasA
garbage trash Synonym Synonym
string_instrument string Synonym Synonym
boyfriend friend Synonym IsA
mountain snow HasA HasA
music note MadeOf HasA
queen female HasProperty HasProperty
picture book PartOf PartOf
animal nature PartOf PartOf
due pay Antonym Antonym
house attic HasA HasA
member committee PartOf IsA
busy nothing Antonym Antonym
stone solid HasProperty HasProperty
person information HasA HasA
hockey violent HasProperty HasProperty
company loneliness Antonym Antonym
peach pit HasA HasA
wash clean IsA Synonym
dog penis HasA HasA
bicycle tool IsA IsA
pin nail Synonym Synonym
bark tan IsA HasProperty
bone human PartOf PartOf
end happen IsA IsA
enjoyment pleasure Synonym Synonym
create make IsA Synonym
container metal MadeOf MadeOf
suit uncomfortable HasProperty HasProperty
breast turkey PartOf PartOf
divide part Synonym IsA
love honey Synonym Synonym
earth globe Synonym Synonym
world material MadeOf MadeOf
act communication IsA IsA
watch check IsA IsA
pluck pull IsA Synonym
sex fun IsA HasProperty
fungus organism IsA IsA
hat cotton MadeOf MadeOf
promotion change IsA IsA
edge line Synonym Synonym
store stock Synonym Synonym
benefit good IsA HasProperty
electron neutron Antonym Antonym
love sweet HasProperty HasProperty
animal meat HasA Synonym
fruit skin HasA HasA
kite orange HasProperty HasProperty
castle place IsA IsA
end change IsA IsA
warmth soothe HasProperty Synonym
nature lovely HasProperty HasProperty
rooster comb HasA HasA
sound fun HasProperty HasProperty
life time Synonym HasProperty
slice hit IsA IsA
begin middle Antonym Antonym
plant nature PartOf PartOf
yellow color IsA IsA
point needle PartOf PartOf
bee animal IsA IsA
case container IsA IsA
gas liquid Antonym Antonym
sole body_part IsA IsA
safety good HasProperty HasProperty
earth blue HasProperty HasProperty
atom electron HasA MadeOf
car wax HasProperty HasA
spine book PartOf PartOf
trade buy Antonym Antonym
woman adult IsA HasProperty
club heart Antonym Synonym
connect join IsA Synonym
bell annoy HasProperty HasProperty
animal emotion HasA HasA
utopia community MadeOf IsA
ram device IsA IsA
new green Synonym HasProperty
low reduce Synonym Synonym
confusion knowledge Antonym Antonym
ranch large HasProperty HasProperty
fog cloudy Synonym HasProperty
poison safe Antonym Antonym
sew stitch Synonym Synonym
lock metal MadeOf MadeOf
she nasty HasProperty HasProperty
leaf plant PartOf PartOf
life experience IsA IsA
camp place IsA IsA
book account Synonym Synonym
pain comfortable Antonym Antonym
stumble mistake Synonym IsA
dice die Synonym IsA
color dark HasProperty Antonym
star object IsA IsA
music tv IsA Antonym
rest break Synonym Antonym
party be_alone Antonym Antonym
temple human PartOf PartOf
ordinary original Antonym Antonym
milk cheese Antonym PartOf
consume use Synonym IsA
glass sand MadeOf Antonym
rooster chicken IsA IsA
human free HasProperty HasProperty
pit place IsA IsA
glass solid IsA HasProperty
move sit Antonym Antonym
pleasure emotion IsA IsA
pee warm HasProperty HasProperty
anger enrage Synonym Synonym
hill mound Synonym Synonym
program performance IsA IsA
sign talk Antonym Antonym
decide think Antonym IsA
copy creation Antonym Antonym
secret mystery Synonym Synonym
volcano crater PartOf HasA
library dirty HasProperty HasProperty
date go_out IsA Synonym
news fun HasProperty HasProperty
head subject Synonym IsA
joint cannabis MadeOf HasA
universe huge HasProperty HasProperty
mankind intelligent HasProperty HasProperty
snow snowflake MadeOf MadeOf
ink paint Synonym PartOf
head screw PartOf IsA
knowledge learn Synonym Synonym
air water Antonym Antonym
solve understand IsA IsA
kitten soft HasProperty HasProperty
wave dress IsA IsA
atmosphere air IsA Synonym
pay payment IsA Synonym
class teacher Antonym HasA
change money IsA IsA
same unique Antonym Antonym
boss leader IsA Synonym
trouble hurt IsA Synonym
divide calculate IsA IsA
exercise important HasProperty HasProperty
love mate Synonym Synonym
compress expand Antonym Antonym
sight vision Synonym Synonym
cool temperature IsA IsA
bird flock PartOf PartOf
house furniture HasA HasA
top dish PartOf PartOf
point pencil PartOf PartOf
gentleman gent Synonym Synonym
race move IsA IsA
crystal clear HasProperty HasProperty
child fun HasA HasProperty
crime justice Antonym Antonym
city many_person HasA HasA
lead heavy HasProperty HasProperty
sport healthy HasProperty HasProperty
music relax HasProperty HasProperty
spot pattern IsA IsA
america continent IsA IsA
nation place IsA IsA
america place IsA IsA
music talk Antonym Antonym
seat bed Antonym Antonym
recycle good HasProperty HasProperty
fight good Antonym HasProperty
nothing free HasProperty HasProperty
fact information IsA IsA
death mystery IsA HasProperty
wool coat IsA IsA
state population HasA HasA
purpose goal IsA Synonym
learn excite HasProperty HasProperty
sex fun HasProperty HasProperty
cell_phone mobile Synonym Synonym
old age Synonym Synonym
tree alive HasProperty HasProperty
lady woman Synonym IsA
banana dessert IsA IsA
shoe lace HasA HasA
steam ice Antonym Antonym
ireland place IsA IsA
free restrict Antonym Antonym
play grind Antonym Synonym
water clear HasProperty HasProperty
library door HasA HasA
extinguish ignite Antonym Antonym
mailbox door HasA HasA
line thread Synonym Synonym
high superior Synonym Synonym
arm leg Antonym Antonym
dress pant Antonym Antonym
depression happiness Antonym Antonym
head mind Synonym Synonym
airplane fun HasProperty HasProperty
earth gravity HasA HasA
quality cheap Antonym Antonym
lazy energetic Antonym Antonym
balance account PartOf Synonym
curl wave PartOf IsA
weather cold HasProperty HasProperty
cellar attic Antonym Antonym
muscle weak Antonym Antonym
enlightenment ignorance Antonym Antonym
sport rule HasA HasA
lease property IsA IsA
crown coin IsA IsA
branch join Antonym Antonym
lover person IsA IsA
cat eye HasA HasA
college university Synonym Antonym
person meat MadeOf HasA
soldier frighten HasProperty HasProperty
mammal fur HasA HasA
hammer hard HasProperty HasProperty
friend person IsA IsA
closet clothe HasA HasA
reward payment Synonym IsA
draw trace Antonym Synonym
decrease go_down Synonym Synonym
handle part IsA IsA
baseball_diamond place IsA IsA
ordinary unusual Antonym Antonym
floor surface IsA IsA
land shore Antonym Synonym
gay homosexual Synonym HasProperty
pale bright Antonym Antonym
document communication IsA IsA
chocolate sugar MadeOf MadeOf
sport fun HasProperty HasProperty
fight play Antonym Antonym
friend important HasProperty HasProperty
bright dark Antonym Antonym
read listen Antonym Antonym
fold bend Synonym Synonym
lose leave_behind Synonym Synonym
den place IsA IsA
den build IsA IsA
squash sport IsA IsA
game play IsA IsA
freeway busy HasProperty HasProperty
book important HasProperty HasProperty
head crown Synonym Synonym
sidewalk pavement MadeOf MadeOf
take remove Synonym Antonym
small minute Synonym Synonym
plain flat HasProperty Synonym
foyer hall Synonym IsA
mail paper MadeOf MadeOf
paper color HasProperty HasProperty
planet moon HasA HasA
meat vegetable Antonym Antonym
concrete sand MadeOf Antonym
recycle friendly HasProperty HasProperty
salad eat HasProperty HasProperty
bed chair Antonym Antonym
please disgust Antonym Antonym
loud quiet Antonym Antonym
serve move IsA IsA
brick clay MadeOf MadeOf
boy man IsA Antonym
head tail Antonym Antonym
kite blue HasProperty HasProperty
glass wood Antonym Antonym
fear emotion IsA IsA
bark rough HasProperty HasProperty
act art IsA IsA
heart muscle IsA MadeOf
strength weak Antonym Antonym
face watch PartOf PartOf
soldier army PartOf PartOf
bike exercise IsA IsA
house phone HasA HasA
lawn place IsA IsA
green red Antonym Antonym
tie equal IsA HasProperty
world huge HasProperty HasProperty
aluminium aluminum Synonym Synonym
handle basket PartOf PartOf
short clothe IsA IsA
bread food IsA IsA
leave leave_behind Synonym Synonym
advance increase IsA IsA
christian kind Synonym HasProperty
sing nice HasProperty HasProperty
can aluminum MadeOf MadeOf
weak powerful Antonym Antonym
finger long HasProperty HasProperty
spring metal MadeOf MadeOf
human nice HasProperty HasProperty
fire fireplace IsA PartOf
paint image IsA IsA
element member Synonym Synonym
beauty rare HasProperty HasProperty
lyric write IsA HasProperty
bathroom place IsA IsA
computer compact HasProperty HasProperty
cast throw Synonym Synonym
spot stain Synonym Synonym
mind memory Synonym Synonym
music guitar MadeOf HasA
flower stem Antonym HasA
huge small Antonym Antonym
pull move IsA IsA
grow cultivate Synonym Synonym
dinner lunch Synonym Antonym
knowledge science Synonym PartOf
branch trunk Antonym Antonym
look watch Synonym Synonym
pin sharp HasProperty HasProperty
strange weird Synonym Synonym
sleep relax IsA IsA
turn movement IsA IsA
tread step PartOf Synonym
organism disease HasA HasA
breathe exist IsA IsA
punishment reward Antonym Antonym
lift depress Antonym Antonym
dress trouser Antonym Synonym
rest work Antonym Antonym
drive trip Synonym IsA
air gas MadeOf IsA
ball toy IsA IsA
bone skin Antonym Antonym
idle active Antonym Antonym
island beach HasA HasA
person religion HasProperty HasA
map fold HasProperty HasProperty
sheet_of_paper paper IsA Synonym
praise important HasProperty HasProperty
misery sadness IsA Synonym
flag mark IsA IsA
function use Synonym IsA
increase sink Antonym Antonym
ribbon red HasProperty HasProperty
nice charm Synonym Synonym
top complete IsA Synonym
female girl Synonym Synonym
pay settle IsA Synonym
seal close IsA IsA
pain life PartOf PartOf
animal mineral Antonym MadeOf
human sex HasA HasA
detail general Antonym Antonym
divorce marry Antonym Antonym
joint body_part IsA IsA
fan person IsA IsA
change action IsA IsA
anger calm Antonym Antonym
produce destroy Antonym Antonym
head body PartOf PartOf
power hold Synonym IsA
stop act IsA IsA
familiar unknown Antonym Antonym
create business IsA IsA
club stick IsA Synonym
black illuminate Antonym Antonym
brush tail Synonym Synonym
lunch breakfast Antonym Antonym
fight violence HasA HasProperty
shirt button HasA HasA
build ugly HasProperty Antonym
smart stupid Antonym Antonym
family evil HasProperty HasProperty
complete empty Antonym Antonym
mouth face PartOf PartOf
garbage rubbish Synonym Synonym
we nice HasProperty HasProperty
cold disease IsA IsA
increase reduce Antonym Antonym
lightning beautiful HasProperty HasProperty
snake black HasProperty HasProperty
lyric song PartOf PartOf
thick smart Antonym Antonym
place seat Synonym Synonym
brush move IsA IsA
holiday fun HasProperty HasProperty
spirit material Antonym Antonym
typewriter old HasProperty HasProperty
positive uncertain Antonym Antonym
adventure home Antonym Antonym
vision dream Synonym Synonym
dwell house PartOf Synonym
bring take Antonym Antonym
birth change IsA IsA
stretch exercise IsA IsA
window frame HasA HasA
storm calm Antonym Antonym
person god HasProperty HasA
apple healthy HasProperty HasProperty
college fun HasProperty HasProperty
violin fragile HasProperty HasProperty
time absolute HasProperty HasProperty
fish animal Antonym IsA
window wall Antonym Antonym
cd flat HasProperty HasProperty
communism society IsA IsA
divorce split Synonym Synonym
table stable HasProperty HasProperty
earth live HasProperty HasProperty
close far Antonym Antonym
keep take Antonym Antonym
channel sound Synonym HasA
use album IsA Synonym
feather cover IsA IsA
learn fun HasProperty HasProperty
nose face PartOf PartOf
cellar place IsA IsA
album vinyl MadeOf MadeOf
seat device IsA IsA
blow hit Synonym IsA
knit join IsA IsA
city build HasA IsA
dirty bright Antonym Antonym
head pin PartOf PartOf
ranch place IsA IsA
priest order PartOf PartOf
bathroom toilet HasA Synonym
competition fun HasProperty HasProperty
heat change IsA IsA
school department Synonym HasA
axe sharp HasProperty HasProperty
diamond shape IsA IsA
bowl dish IsA IsA
white_house government Synonym PartOf
follower leader Antonym Antonym
raise construct IsA IsA
music quiet Antonym Antonym
moon dry HasProperty HasProperty
galaxy milky_way Synonym Synonym
dance move IsA IsA
life good HasProperty HasProperty
lift ride Synonym Synonym
